mode,mode_type,review_scope,acceptance_gate,part,x_min_mm,x_max_mm,x_len_mm,y_min_mm,y_max_mm,y_len_mm,z_min_mm,z_max_mm,z_len_mm,expected_removed_parts_absent,expected_review_parts_present,result,notes
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,cots_gas_service_tubes,-36.00,183.60,219.60,57.50,319.75,262.25,32.10,37.10,5.00,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lid_sensor_harness,1.00,147.00,146.00,49.88,375.25,325.38,25.50,33.55,8.05,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lid_sensor_service_cable_pigtails,4.80,142.80,138.00,375.25,405.25,30.00,34.10,35.30,1.20,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lid_sensor_service_connectors,1.00,146.60,145.60,366.65,375.25,8.60,33.10,38.20,5.10,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lower_gasket,0.00,147.60,147.60,0.00,377.25,377.25,8.00,8.80,0.80,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lower_harness_cover,0.50,10.90,10.40,49.38,375.75,326.38,-0.70,0.00,0.70,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lower_sensor_harness,1.00,10.40,9.40,49.88,375.25,325.38,0.00,0.45,0.45,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lower_sensor_service_cable_pigtail,4.80,8.00,3.20,375.25,405.25,30.00,-4.10,-2.90,1.20,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,lower_sensor_service_connector,1.00,11.80,10.80,366.65,375.25,8.60,-5.10,0.00,5.10,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,plate_support_frame,-0.00,147.60,147.60,-0.00,377.25,377.25,0.00,11.20,11.20,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,printed_lid_sensor_connector_shrouds,0.20,147.40,147.20,365.85,375.25,9.40,33.10,37.90,4.80,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,printed_lower_sensor_connector_shroud,0.20,12.60,12.40,365.85,375.25,9.40,-5.10,-0.30,4.80,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,printed_sample_relief_cap,126.80,143.60,16.80,182.62,194.62,12.00,35.90,40.50,4.60,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,printed_wedge_locks,0.00,147.60,147.60,0.00,377.25,377.25,36.10,39.10,3.00,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,unseated_gas_pcb_cartridges_review,3.30,144.30,141.00,43.80,333.45,289.65,51.00,76.10,25.10,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,upper_gasket,0.00,147.60,147.60,0.00,377.25,377.25,24.30,25.10,0.80,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,wet_chamber_frame,-0.00,147.60,147.60,-0.00,377.25,377.25,8.00,40.10,32.10,true,true,pass,plain-Python CadQuery bounds; physical gates unchanged
