mode,mode_type,review_scope,acceptance_gate,expected_removed_parts,expected_review_parts,screenshot_path,result,notes
sample_relief_cap_unseated,negative_review,mis-seated sample/relief cap assembly-state review,Gate 4 wet/dry witness fail-closed inspection,printed_sample_relief_cap,unseated_sample_relief_cap_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/sample_relief_cap_unseated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,,deck_module_unseated_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/deck_module_unseated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
deck_pose_repeatability_unproven,negative_review,repeat-seat and rocking/yaw deck pose review,Gate 3 OT-2 placement fail-closed inspection,,deck_pose_repeatability_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/deck_pose_repeatability_unproven_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
latches_unseated,negative_review,unseated latch and bearing-flat review,Gate 2 dry assembly fail-closed inspection,printed_wedge_locks,"unseated_wedge_locks_review, latch_unseated_witnesses",data/measurements/2026-06-02_one_row_coupon_service_state_bounds/latches_unseated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
septum_mats_missing,negative_review,missing COTS septum mat assembly-state review,Gate 5 consumable/puncture fail-closed inspection,cots_septum_mats,missing_septum_mat_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/septum_mats_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
microplates_missing,negative_review,missing plate stack and dependent mat review,Gate 5 consumable/puncture fail-closed inspection,"cots_microplates, cots_septum_mats",missing_microplate_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/microplates_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
perimeter_gaskets_missing,negative_review,missing compressed perimeter gasket review,Gate 4 wet/dry witness fail-closed inspection,"lower_gasket, upper_gasket",missing_perimeter_gasket_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/perimeter_gaskets_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
gas_pcbs_missing,negative_review,missing gas PCB cartridge and duct-seal review,Gate 6 sensor/thermal fail-closed inspection,"gas_sensor_pcbs, gas_pcb_interface_gaskets",missing_gas_pcb_cartridge_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/gas_pcbs_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
gas_pcb_cartridges_unseated,negative_review,unseated gas PCB cartridge and duct-seal compression review,Gate 6 sensor/thermal fail-closed inspection,"gas_sensor_pcbs, printed_gas_pcb_keeper_doors",unseated_gas_pcb_cartridges_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/gas_pcb_cartridges_unseated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
local_sensors_missing,negative_review,missing local headspace and IR sensor module review,Gate 6 sensor/thermal fail-closed inspection,"headspace_sht41_microcarriers, ir_thermopiles, ir_thermopile_face_gaskets",missing_local_sensor_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/local_sensors_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
service_leads_missing,negative_review,missing connected gas and electrical service lead review,Gate 6 sensor/thermal fail-closed inspection,"cots_gas_service_tubes, lower_sensor_service_cable_pigtail, lid_sensor_service_cable_pigtails",missing_service_lead_witnesses,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/service_leads_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
side_gas_tubes_unseated,negative_review,unseated side gas tube barb and strain-relief review,Gate 2 dry assembly fail-closed inspection,cots_gas_service_tubes,unseated_side_gas_tubes_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/side_gas_tubes_unseated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
electrical_connectors_unmated,negative_review,unmated electrical service connector review,Gate 6 sensor/thermal fail-closed inspection,"lower_sensor_service_connector, lid_sensor_service_connectors, lower_sensor_service_cable_pigtail, lid_sensor_service_cable_pigtails",unmated_sensor_service_connectors_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/electrical_connectors_unmated_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
service_dress_over_pipette_field,negative_review,gas/electrical service bundle routed over pipette field review,Gate 3 OT-2 placement fail-closed inspection,"cots_gas_service_tubes, lower_sensor_service_cable_pigtail, lid_sensor_service_cable_pigtails",misdressed_service_bundle_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/service_dress_over_pipette_field_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
service_dress_adjacent_slot_collision,negative_review,gas/electrical service bundle intruding into adjacent OT-2 slot review,Gate 3 OT-2 placement fail-closed inspection,"cots_gas_service_tubes, lower_sensor_service_cable_pigtail, lid_sensor_service_cable_pigtails",adjacent_slot_service_collision_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/service_dress_adjacent_slot_collision_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
dry_bay_obstructed,negative_review,dry bay obstruction and witness-path visibility review,Gate 4 wet/dry witness fail-closed inspection,,dry_bay_obstruction_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/dry_bay_obstructed_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
assembly_debris_present,negative_review,loose assembly debris in dry bay and witness-path review,Gate 2 dry assembly fail-closed inspection,,assembly_debris_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/assembly_debris_present_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
gasket_squeeze_out_of_range,negative_review,out-of-range gasket compression review,Gate 2 dry assembly fail-closed inspection,,gasket_squeeze_out_of_range_review,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/gasket_squeeze_out_of_range_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
